id,name,album_name,artist_ids,danceability,energy,speechiness,acousticness,valence,tempo,duration_ms
2lmWwBLVJ2P0HX491zkYws,Mbappe,SEN2 KBRN VOL. 2,5XJDexmWFLWOkjOEjOVX3e,0.712,0.684,0.0512,0.548,0.513,130.038,147692
2toCf2FDbTIdWriPI6kcsY,Ich hass dich,Glas,"2kS9NyuATpYwjeB93h24H5,36caCzfSrrL7a8Mvd1SuRr",0.82,0.679,0.0875,0.482,0.516,145.026,192836
0i9RysNKssk6syOrKDX3U2,FLEURS (feat. Tiakola),KMT,"5gqmbbfjcikQBzPB5Hv13I,3vUMXQ9kPnZAQkMkZZ7Hfh",0.673,0.636,0.0771,0.268,0.438,127.021,210933
2J6OF7CkpdQGSfm1wdclqn,Clouded,Fuck The World,3tlXnStJ1fFhdScmQeLpuG,0.583,0.344,0.0559,0.774,0.581,65.203,110129
1aUq8rjW1EwkAkMri4VfJy,LOKERA,SATURNO,"1mcTU81TzQhprhouKaTkpq,1Ts9of7VPZElwPQnqnDSfW,1GKIlPFdcewHtpDVCQ8zmJ",0.836,,0.0461,0.213,0.579,102.025,197101
0tCawDFGC71YFz5K0nB8Sy,Supalife 4,Supalife 4,1w8f71fNCVvZtiz4DLd7N5,0.897,0.483,0.124,0.0541,0.227,124.016,73562
48doyYB1i3Yyv3B13R1rZ3,Introduction,Sincèrement,5gs4Sm2WQUkcGeikMcVHbh,0.695,,0.371,0.595,0.0995,134.658,94253
7A2DyRIqqelhZ4caPJMaFI,Urus,Urus,20JMfmzDb5cjHxEoMXXMyY,0.71,0.712,0.3,0.0297,0.596,162.106,147788
1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),"5XKFrudbV4IiuE5WuTPRmT,7o2ZQYM7nTsaVdkXY38UAA",0.551,,0.0286,0.777,0.342,101.19,176440
789CxjEOtO76BVD1A9yJQH,Stay,Unapologetic (Edited Version),"5pKCCKE2ajJHZ9KAiaK11H,1buzCmyYZE4kcdLRudsb8V",0.621,0.31,0.0283,0.945,0.125,111.893,240707
0v5tJa9288xBvYEl9EBuNK,NUR SIE DARF,LOVE MY LIFE,5pVRwX5ZQR7hfJ18w8ZYkl,0.627,0.562,0.2,0.299,0.122,177.93,163099
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Un Verano Sin Ti,"4q3ewBCX7sLwd24euuV69X,37230BxxYs9ksS7OkZw3IU",0.911,0.712,0.0817,0.0901,0.425,92.005,178567
2I0aHZjCXh6UjMHIOqugYF,TAMO EN NOTA,TAMO EN NOTA,"1mcTU81TzQhprhouKaTkpq,5qPRgWcEOGRzoIST0sHAiI",0.667,0.81,0.344,0.0922,0.829,121.373,180060
577YBGuskWkVDCxZrLRB4v,Pure Cocaine,Street Gossip,5f7VJjfbwm532GiveGC0ZK,0.964,0.487,0.421,0.00127,0.107,127.05,154024
4WuOWVnAqvEQxgSRrspBgt,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],HEROES & VILLAINS,"0iEtIxbK0KxaSlF7G42ZOp,0Y5tJX1MQlPlqiwlOH1tJY,1URnnhqYAYcrqrcwql10ft",0.671,0.658,0.309,0.189,0.257,87.933,207307
4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,Just Wanna Rock,4O15NlyKLIASxsJ0PrXPfz,0.486,0.545,0.0336,0.0652,0.0385,150.187,123891
6DoL1yYIwEW7VZMRaJhoJI,La Llevo Al Cielo (Ft. Ñengo Flow),La Llevo Al Cielo (Ft. Ñengo Flow),"0qTZZWLzuD59Un5r1speHm,2R21vXR83lH98kGeO99Y66,37230BxxYs9ksS7OkZw3IU,12vb80Km0Ew53ABfJOepVz",0.795,0.845,0.135,0.105,0.769,170.023,254920
5W4kiM2cUYBJXKRudNyxjW,You Proof,One Thing At A Time,4oUHIQIBe0LHzYfvXNW4QM,0.732,0.839,0.0345,0.265,0.629,119.724,157478
0DWdj2oZMBFSzRsi2Cvfzf,TQG,MAÑANA SERÁ BONITO,"790FomKkXshlbRYZFtlgla,0EmeFodog0BfCgMzAIvKQp",0.72,0.63,0.277,0.673,0.607,179.974,199440
6G12ZafqofSq7YtrMqUm76,Monotonía,Monotonía,"0EmeFodog0BfCgMzAIvKQp,1i8SpTcr7yvPOmcqrbnVXY",0.873,0.695,0.0459,0.419,0.823,131.963,158805
1zJhKME0phSFx577DpKMGk,Madame,Survie,54kCbQZaZWHnwwj9VP2hn4,0.769,0.614,0.341,0.374,0.558,124.998,173293
5WxYU8RRzy5X0kC6Fx9SpI,Ateo,El Madrileño (La Sobremesa),"5TYxZTjIPqKM8K8NuP9woO,3VHAySZQPlfGlNLslzXYpN",0.83,0.699,0.0378,0.171,0.771,130.018,240000
63siBeZzxXVaY0uASns1V2,Coup de vieux,Les autres c’est nous,"5mmEMfYChd6MImBagU7zCs,6jStlKLflTMUN6BajxrNlj",0.834,,0.0838,0.0729,0.831,115.981,232373
5x17YrAwajDUCqB8zT9ElY,Traductor,Portales,"5Y3MV9DZ0d87NnVm56qSY1,7iK8PXO48WeuP03g8YR51W",0.845,,0.0488,0.111,0.528,105.018,222857
78Sw5GDo6AlGwTwanjXbGh,Here With Me,Here With Me,5y8tKLUfMvliMe8IKamR32,0.574,0.469,0.0254,0.534,0.288,132.023,242485
7exHT4swWOKL5addPeqkLP,THE LONELIEST,RUSH!,0lAWpj5szCSwM4rUMHYmrr,0.525,0.599,0.0281,0.00151,0.226,129.841,247067
